case_id,dataset_type,scenario_id,group_id,label,split
mali_1_1.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_10.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_11.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_12.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_13.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_14.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_15.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_16.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_17.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_18.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_19.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_2.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_20.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_21.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_22.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_23.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_24.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_3.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_4.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_5.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_6.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_7.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_8.csv,mali,scenario_1,mali_scenario_1,1,train
mali_1_9.csv,mali,scenario_1,mali_scenario_1,1,train
mali_10_1.csv,mali,scenario_10,mali_scenario_10,1,val
mali_10_2.csv,mali,scenario_10,mali_scenario_10,1,val
mali_10_3.csv,mali,scenario_10,mali_scenario_10,1,val
mali_10_4.csv,mali,scenario_10,mali_scenario_10,1,val
mali_10_5.csv,mali,scenario_10,mali_scenario_10,1,val
mali_10_6.csv,mali,scenario_10,mali_scenario_10,1,val
mali_10_7.csv,mali,scenario_10,mali_scenario_10,1,val
mali_10_8.csv,mali,scenario_10,mali_scenario_10,1,val
mali_10_9.csv,mali,scenario_10,mali_scenario_10,1,val
mali_11_1.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_10.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_11.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_12.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_13.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_2.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_3.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_4.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_5.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_6.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_7.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_8.csv,mali,scenario_11,mali_scenario_11,1,val
mali_11_9.csv,mali,scenario_11,mali_scenario_11,1,val
mali_12_1.csv,mali,scenario_12,mali_scenario_12,1,train
mali_12_2.csv,mali,scenario_12,mali_scenario_12,1,train
mali_12_3.csv,mali,scenario_12,mali_scenario_12,1,train
mali_12_4.csv,mali,scenario_12,mali_scenario_12,1,train
mali_12_5.csv,mali,scenario_12,mali_scenario_12,1,train
mali_12_6.csv,mali,scenario_12,mali_scenario_12,1,train
mali_12_7.csv,mali,scenario_12,mali_scenario_12,1,train
mali_12_8.csv,mali,scenario_12,mali_scenario_12,1,train
mali_12_9.csv,mali,scenario_12,mali_scenario_12,1,train
mali_2_1.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_10.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_11.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_12.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_13.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_14.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_15.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_16.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_17.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_18.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_19.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_2.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_20.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_21.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_22.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_23.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_24.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_3.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_4.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_5.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_6.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_7.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_8.csv,mali,scenario_2,mali_scenario_2,1,train
mali_2_9.csv,mali,scenario_2,mali_scenario_2,1,train
mali_3_1.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_10.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_11.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_12.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_13.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_14.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_15.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_16.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_17.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_18.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_19.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_2.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_20.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_21.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_22.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_23.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_24.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_3.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_4.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_5.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_6.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_7.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_8.csv,mali,scenario_3,mali_scenario_3,1,train
mali_3_9.csv,mali,scenario_3,mali_scenario_3,1,train
mali_4_1.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_10.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_11.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_12.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_13.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_14.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_15.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_16.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_17.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_18.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_19.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_2.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_20.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_21.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_22.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_23.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_24.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_3.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_4.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_5.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_6.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_7.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_8.csv,mali,scenario_4,mali_scenario_4,1,val
mali_4_9.csv,mali,scenario_4,mali_scenario_4,1,val
mali_5_1.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_10.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_11.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_12.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_13.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_14.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_15.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_16.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_17.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_18.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_19.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_2.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_20.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_21.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_22.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_23.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_24.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_3.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_4.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_5.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_6.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_7.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_8.csv,mali,scenario_5,mali_scenario_5,1,train
mali_5_9.csv,mali,scenario_5,mali_scenario_5,1,train
